titles,descriptions,creators,types,rights,formats,dates
"Doug Smith and Liz, John Knox Church.",Portraits of Doug and Liz Smith and two boys.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1979
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Wedding of Vivian Jarny [or Garny?].,"Includes bride and groom, attendants and guests at the wedding.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
"Performance with maritime theme at La Mama, directed by Wendy Joseph.",Includes other images of same actors in different positions on the stage.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1990/1999
"Loli Azmola, family shots and portraits.","Shows the Azmola family in their home, including the sitting room, kitchen and dining area; also shows a young woman in the back yard, wearing a red brimmed hat.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1988-08
"Family group on a crowded beach, possibly at St. Kilda.",Shows a crowded beach with people swimming and children playing in the sand.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1979
"Clem Fraser, Chicago.","Includes other images of subject, some in city street, standing with others in front of buildings, wearing a quilted dressing gown in a bedroom, beside cars on a country road, and with car loaded with chair, parked at curb in city. Also includes portrait shots standing with a baby on his shoulders.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1955/1961
Edinburgh cigarette advertisement.,"Shows head and shoulders of man with a moustache and wearing a suit, smoking a cigarette; also head and shoulders of a woman smoking.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1963-04
Chicago comedian and actor Gene Theodnick.,"Half and whole-length portraits of Gene Theodnick, posing with a camera, wearing a suit and wearing an raincoat while lighting a cigarette.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1958-04
Jimmy Hannon - TV and radio personality.,Shows Jimmy Hannon at the radio station microphone.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
Sue Veers.,"Half-length portraits of Sue Veers, wearing a check blouse.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1985-02
